params,mean_accuracy,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.598,0.579,0.632,0.5,0.667,0.611
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.629,0.684,0.684,0.5,0.611,0.667
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.587,0.474,0.684,0.556,0.611,0.611
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.587,0.579,0.632,0.5,0.611,0.611
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.632,0.684,0.5,0.611,0.667
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.587,0.474,0.684,0.556,0.611,0.611
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.587,0.579,0.632,0.5,0.611,0.611
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.632,0.684,0.5,0.611,0.667
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.587,0.474,0.684,0.556,0.611,0.611
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.587,0.579,0.632,0.5,0.611,0.611
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.632,0.684,0.5,0.611,0.667
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.587,0.474,0.684,0.556,0.611,0.611
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.587,0.579,0.632,0.5,0.611,0.611
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.632,0.684,0.5,0.611,0.667
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.619,0.632,0.632,0.611,0.611,0.611
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.619,0.632,0.632,0.611,0.611,0.611
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.619,0.632,0.632,0.611,0.611,0.611
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.619,0.632,0.632,0.611,0.611,0.611
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.619,0.632,0.632,0.611,0.611,0.611
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.619,0.632,0.632,0.611,0.611,0.611
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.532,0.579,0.526,0.5,0.444,0.611
"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.531,0.579,0.632,0.389,0.389,0.667
"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.598,0.684,0.526,0.556,0.611,0.611
"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.576,0.632,0.526,0.5,0.556,0.667
"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.596,0.737,0.579,0.556,0.611,0.5
"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
